datetime,timezone,platform,type,media_path,caption_path,status,thumbnail_path
2025-08-26T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day10_916.mp4,./content/captions/2025-08-26.txt,pending,./assets/images_final/square/day10_thumb.jpg
2025-08-26T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day10_916.mp4,./content/captions/2025-08-26.txt,pending,
2025-08-27T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day11.jpg,./content/captions/2025-08-27.txt,pending,
2025-08-27T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day11.jpg,./content/captions/2025-08-27.txt,pending,
2025-08-27T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day11_916.mp4,./content/captions/2025-08-27.txt,pending,./assets/images_final/square/day11_thumb.jpg
2025-08-27T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day11_916.mp4,./content/captions/2025-08-27.txt,pending,
2025-08-28T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day12.jpg,./content/captions/2025-08-28.txt,pending,
2025-08-28T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day12.jpg,./content/captions/2025-08-28.txt,pending,
2025-08-28T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day12_916.mp4,./content/captions/2025-08-28.txt,pending,./assets/images_final/square/day12_thumb.jpg
2025-08-28T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day12_916.mp4,./content/captions/2025-08-28.txt,pending,
2025-08-29T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day13.jpg,./content/captions/2025-08-29.txt,pending,
2025-08-29T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day13.jpg,./content/captions/2025-08-29.txt,pending,
2025-08-29T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day13_916.mp4,./content/captions/2025-08-29.txt,pending,./assets/images_final/square/day13_thumb.jpg
2025-08-29T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day13_916.mp4,./content/captions/2025-08-29.txt,pending,
2025-08-30T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day14.jpg,./content/captions/2025-08-30.txt,pending,
2025-08-30T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day14.jpg,./content/captions/2025-08-30.txt,pending,
2025-08-30T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day14_916.mp4,./content/captions/2025-08-30.txt,pending,./assets/images_final/square/day14_thumb.jpg
2025-08-30T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day14_916.mp4,./content/captions/2025-08-30.txt,pending,
2025-08-31T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day15.jpg,./content/captions/2025-08-31.txt,pending,
2025-08-31T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day15.jpg,./content/captions/2025-08-31.txt,pending,
2025-08-31T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day15_916.mp4,./content/captions/2025-08-31.txt,pending,./assets/images_final/square/day15_thumb.jpg
2025-08-31T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day15_916.mp4,./content/captions/2025-08-31.txt,pending,
